codigo,nombre,campo,valor_propuesto,motivo
0057,Club de Nuit Sillage,visible,no,Duplicado de 0160 (Club de Nuit Sillage) con otro precio: $569 contra $619. Se publica 0160; confirmar precio
0059,Light Blue,familia,Cítrico,Propuesta: el PDF no trae familia olfativa
0060,Sweet Like Candy,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0061,Y,familia,Fougère,Propuesta: el PDF no trae familia olfativa
0062,Acqua di Giò,familia,Acuático,Propuesta: el PDF no trae familia olfativa
0063,Hawas Ice,familia,Acuático,Propuesta: el PDF no trae familia olfativa
0063,Hawas Ice,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0063,Hawas Ice,ml,100,El PDF no dice el tamaño; se asume 100 ml
0066,Toy Boy,familia,Especiado,Propuesta: el PDF no trae familia olfativa
0066,Toy Boy,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0066,Toy Boy,ml,100,El PDF no dice el tamaño; se asume 100 ml
0067,Moonlight,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0068,Amor Amor,familia,Floral,Propuesta: el PDF no trae familia olfativa
0069,Meow,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0070,Éclaire,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0071,Hawas Black,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0071,Hawas Black,ml,100,El PDF no dice el tamaño; se asume 100 ml
0072,Hawas Fire,familia,Especiado,Propuesta: el PDF no trae familia olfativa
0072,Hawas Fire,ml,100,El PDF no dice el tamaño; se asume 100 ml
0073,Odyssey Mandarin Sky,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0073,Odyssey Mandarin Sky,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0073,Odyssey Mandarin Sky,ml,100,El PDF no dice el tamaño; se asume 100 ml
0074,Her Confession,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0075,His Confession,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0076,Khair Confection,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0076,Khair Confection,ml,100,El PDF no dice el tamaño; se asume 100 ml
0077,Khair Pistachio,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0077,Khair Pistachio,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0078,Teriaq,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0079,for Men,familia,Cítrico,Propuesta: el PDF no trae familia olfativa
0079,for Men,ml,100,El PDF no dice el tamaño; se asume 100 ml
0080,Rave Now Red,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0080,Rave Now Red,genero,Unisex,Propuesta: el PDF no lo dice
0080,Rave Now Red,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0081,Cool Water,familia,Acuático,Propuesta: el PDF no trae familia olfativa
0082,Scandal Pour Homme,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0083,Reserve for Men,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0084,360°,familia,Floral,Propuesta: el PDF no trae familia olfativa
0085,360° Red,familia,Floral,Propuesta: el PDF no trae familia olfativa
0086,Eternity for Women,familia,Floral,Propuesta: el PDF no trae familia olfativa
0087,Be Delicious Fresh Blossom,familia,Floral,Propuesta: el PDF no trae familia olfativa
0088,Uomo Born in Roma Intense,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0092,Bleu de Chanel,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0093,Odyssey Mega,familia,Cítrico,Propuesta: el PDF no trae familia olfativa
0094,Oud Saffron,familia,Especiado,Propuesta: el PDF no trae familia olfativa
0095,Amber Rouge,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0095,Amber Rouge,ml,100,El PDF no dice el tamaño; se asume 100 ml
0096,Royal Blue,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0097,Musamam,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0098,Musamam White Intense,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0098,Musamam White Intense,ml,100,El PDF no dice el tamaño; se asume 100 ml
0099,Santal 33,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0100,Odyssey Candee,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0101,Ameer Al Arab,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0102,Ameerat Al Arab,familia,Floral,Propuesta: el PDF no trae familia olfativa
0102,Ameerat Al Arab,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0102,Ameerat Al Arab,ml,100,El PDF no dice el tamaño; se asume 100 ml
0103,Ameerat Al Arab Privé Rose,familia,Floral,Propuesta: el PDF no trae familia olfativa
0104,Ameer Al Arab Imperium,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0105,Ultra Male,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0106,Be Delicious,familia,Floral,Propuesta: el PDF no trae familia olfativa
0106,Be Delicious,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0106,Be Delicious,ml,100,El PDF no dice el tamaño; se asume 100 ml
0107,Asad Bourbon,familia,Especiado,Propuesta: el PDF no trae familia olfativa
0107,Asad Bourbon,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0108,Ari,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0111,La Luna,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0111,La Luna,genero,Unisex,Propuesta: el PDF no lo dice
0111,La Luna,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0112,Hudson Valley,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0112,Hudson Valley,genero,Unisex,Propuesta: el PDF no lo dice
0112,Hudson Valley,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0113,Ra'ed Luxe Gold,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0115,Cool Water Woman,familia,Acuático,Propuesta: el PDF no trae familia olfativa
0116,Fahrenheit,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0117,Polo Sport,familia,Acuático,Propuesta: el PDF no trae familia olfativa
0119,Incanto Shine,familia,Floral,Propuesta: el PDF no trae familia olfativa
0119,Incanto Shine,concentracion,Eau de Toilette,Propuesta: el PDF no la dice
0119,Incanto Shine,ml,100,El PDF no dice el tamaño; se asume 100 ml
0120,Happy for Men,familia,Cítrico,Propuesta: el PDF no trae familia olfativa
0121,L.12.12 Blanc,familia,Cítrico,Propuesta: el PDF no trae familia olfativa
0122,Aventus,familia,Chipre,Propuesta: el PDF no trae familia olfativa
0122,Aventus,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0123,Voyage,familia,Acuático,Propuesta: el PDF no trae familia olfativa
0124,Club de Nuit Iconic,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0126,(nombre por confirmar),familia,Oriental,Propuesta: el PDF no trae familia olfativa
0126,(nombre por confirmar),genero,Unisex,Propuesta: el PDF no lo dice
0126,(nombre por confirmar),visible,no,"Nombre incompleto en el PDF («Edp Lattafa, 100»): falta identificarlo"
0127,(nombre por confirmar),familia,Floral,Propuesta: el PDF no trae familia olfativa
0127,(nombre por confirmar),genero,Mujer,Propuesta: el PDF no lo dice
0127,(nombre por confirmar),visible,no,"Nombre incompleto en el PDF («Edp Lattafa, 100»): falta identificarlo"
0128,Sultan Al Quloob,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0128,Sultan Al Quloob,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0128,Sultan Al Quloob,ml,100,El PDF no dice el tamaño; se asume 100 ml
0129,Musk Mood,familia,Floral,Propuesta: el PDF no trae familia olfativa
0129,Musk Mood,genero,Unisex,Propuesta: el PDF no lo dice
0130,Oud Mood Elixir,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0131,Oud Mood Reminiscence,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0131,Oud Mood Reminiscence,ml,100,El PDF no dice el tamaño; se asume 100 ml
0132,Khamrah,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0133,Khamrah Qahwa,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0134,Khamrah Dukhan,familia,Especiado,Propuesta: el PDF no trae familia olfativa
0136,Donna Born in Roma Intense,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0136,Donna Born in Roma Intense,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0137,Donna Born in Roma Pink PP,familia,Floral,Propuesta: el PDF no trae familia olfativa
0137,Donna Born in Roma Pink PP,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0138,Donna Born in Roma The Gold,familia,Floral,Propuesta: el PDF no trae familia olfativa
0138,Donna Born in Roma The Gold,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0139,Donna Born in Roma Coral Fantasy,familia,Floral,Propuesta: el PDF no trae familia olfativa
0139,Donna Born in Roma Coral Fantasy,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0140,Uomo Born in Roma The Gold,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0140,Uomo Born in Roma The Gold,concentracion,Eau de Toilette,Propuesta: el PDF no la dice
0141,360° for Men,familia,Fougère,Propuesta: el PDF no trae familia olfativa
0141,360° for Men,concentracion,Eau de Toilette,Propuesta: el PDF no la dice
0141,360° for Men,ml,100,El PDF no dice el tamaño; se asume 100 ml
0142,Reserve,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0142,Reserve,genero,Hombre,Propuesta: el PDF no lo dice
0142,Reserve,concentracion,Eau de Toilette,Propuesta: el PDF no la dice
0142,Reserve,ml,100,El PDF no dice el tamaño; se asume 100 ml
0144,Scandal Pour Homme Intense,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0144,Scandal Pour Homme Intense,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0145,Coco Mademoiselle L'Eau Privée,familia,Floral,Propuesta: el PDF no trae familia olfativa
0145,Coco Mademoiselle L'Eau Privée,concentracion,Eau de Toilette,Propuesta: el PDF no la dice
0146,Sauvage Parfum,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0146,Sauvage Parfum,ml,100,El PDF no dice el tamaño; se asume 100 ml
0147,La Vie Est Belle,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0148,Hugo Just Different,familia,Fougère,Propuesta: el PDF no trae familia olfativa
0149,Odyssey Limoni Fresh,familia,Cítrico,Propuesta: el PDF no trae familia olfativa
0150,Odyssey Spectra,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0151,Odyssey Dubai Chocolat,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0152,Hugo Iced,familia,Acuático,Propuesta: el PDF no trae familia olfativa
0152,Hugo Iced,concentracion,Eau de Toilette,Propuesta: el PDF no la dice
0153,Hugo Man,familia,Fougère,Propuesta: el PDF no trae familia olfativa
0153,Hugo Man,concentracion,Eau de Toilette,Propuesta: el PDF no la dice
0154,Le Beau Le Parfum Intense,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0155,Le Male Le Parfum,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0156,Le Male Elixir,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0157,Le Beau Flower Edition,familia,Floral,Propuesta: el PDF no trae familia olfativa
0157,Le Beau Flower Edition,ml,100,El PDF no dice el tamaño; se asume 100 ml
0158,Club de Nuit Urban Man Elixir,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0159,Bleecker Street,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0160,Club de Nuit Sillage,familia,Cítrico,Propuesta: el PDF no trae familia olfativa
0161,Explorer,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0161,Explorer,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0162,9pm Elixir,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0163,Boss Bottled Oud Saffron,familia,Especiado,Propuesta: el PDF no trae familia olfativa
0163,Boss Bottled Oud Saffron,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0164,Boss Bottled Absolu,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0165,Boss Bottled Bold Citrus,familia,Cítrico,Propuesta: el PDF no trae familia olfativa
0165,Boss Bottled Bold Citrus,concentracion,Eau de Toilette,Propuesta: el PDF no la dice
0166,Boss Bottled Night,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0167,Paris Hilton,familia,Floral,Propuesta: el PDF no trae familia olfativa
0168,Hawas Tropical,familia,Cítrico,Propuesta: el PDF no trae familia olfativa
0169,Angham,familia,Floral,Propuesta: el PDF no trae familia olfativa
0170,Hawas for Her,familia,Floral,Propuesta: el PDF no trae familia olfativa
0171,Odyssey Wild One Gold Edition,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0172,Odyssey Aoud,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0173,Odyssey Artisto Red Edition,familia,Especiado,Propuesta: el PDF no trae familia olfativa
0173,Odyssey Artisto Red Edition,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0174,Odyssey Mandarin Sky Elixir,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0175,Hayaati,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0176,Hayaati Al Maleky,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0176,Hayaati Al Maleky,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0176,Hayaati Al Maleky,ml,100,El PDF no dice el tamaño; se asume 100 ml
0180,Nitro Red,familia,Especiado,Propuesta: el PDF no trae familia olfativa
0181,Nitro Green,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0181,Nitro Green,nombre,Nitro Green,El catálogo dice Nitro Green pero la caja de la foto dice Nitro Black
0185,Give Me Gourmand Vanilla Freak,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0185,Give Me Gourmand Vanilla Freak,genero,Unisex,Propuesta: el PDF no lo dice
0185,Give Me Gourmand Vanilla Freak,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0185,Give Me Gourmand Vanilla Freak,ml,100,El PDF no dice el tamaño; se asume 100 ml
0185,Give Me Gourmand Vanilla Freak,nombre,Give Me Gourmand Vanilla Freak,Los 6 Give Me Gourmand (0185–0190) tienen el mismo nombre; variante leída en la caja
0186,Give Me Gourmand (variante naranja),familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0186,Give Me Gourmand (variante naranja),genero,Unisex,Propuesta: el PDF no lo dice
0186,Give Me Gourmand (variante naranja),concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0186,Give Me Gourmand (variante naranja),ml,100,El PDF no dice el tamaño; se asume 100 ml
0186,Give Me Gourmand (variante naranja),visible,no,Give Me Gourmand naranja: la caja no se alcanza a leer
0187,Give Me Gourmand Berry on Top,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0187,Give Me Gourmand Berry on Top,genero,Unisex,Propuesta: el PDF no lo dice
0187,Give Me Gourmand Berry on Top,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0187,Give Me Gourmand Berry on Top,ml,100,El PDF no dice el tamaño; se asume 100 ml
0187,Give Me Gourmand Berry on Top,nombre,Give Me Gourmand Berry on Top,Los 6 Give Me Gourmand (0185–0190) tienen el mismo nombre; variante leída en la caja
0188,Give Me Gourmand (variante morada),familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0188,Give Me Gourmand (variante morada),genero,Unisex,Propuesta: el PDF no lo dice
0188,Give Me Gourmand (variante morada),concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0188,Give Me Gourmand (variante morada),ml,100,El PDF no dice el tamaño; se asume 100 ml
0188,Give Me Gourmand (variante morada),visible,no,Give Me Gourmand morado: la caja no se alcanza a leer
0189,Give Me Gourmand (variante chocolate),familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0189,Give Me Gourmand (variante chocolate),genero,Unisex,Propuesta: el PDF no lo dice
0189,Give Me Gourmand (variante chocolate),concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0189,Give Me Gourmand (variante chocolate),ml,100,El PDF no dice el tamaño; se asume 100 ml
0189,Give Me Gourmand (variante chocolate),visible,no,Give Me Gourmand chocolate: la caja no se alcanza a leer
0190,Give Me Gourmand (variante café),familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0190,Give Me Gourmand (variante café),genero,Unisex,Propuesta: el PDF no lo dice
0190,Give Me Gourmand (variante café),concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0190,Give Me Gourmand (variante café),ml,100,El PDF no dice el tamaño; se asume 100 ml
0190,Give Me Gourmand (variante café),visible,no,Give Me Gourmand café: la caja no se alcanza a leer
0207,Yara (variante por confirmar),familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0207,Yara (variante por confirmar),genero,Mujer,Propuesta: el PDF no lo dice
0207,Yara (variante por confirmar),concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0207,Yara (variante por confirmar),visible,no,El PDF solo dice «yara 100ml»: falta saber qué variante es
0208,Asad Elixir,familia,Especiado,Propuesta: el PDF no trae familia olfativa
0208,Asad Elixir,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0208,Asad Elixir,ml,100,El PDF no dice el tamaño; se asume 100 ml
0208,Asad Elixir,nombre,Asad Elixir,El catálogo sólo dice 'Asad Lattafa'; la caja dice Elixir
0232,Odyssey Aqua,familia,Acuático,Propuesta: el PDF no trae familia olfativa
0232,Odyssey Aqua,genero,Unisex,Propuesta: el PDF no lo dice
0232,Odyssey Aqua,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0232,Odyssey Aqua,nombre,Odyssey Aqua,El catálogo dice 'odyssey 100ml'; variante leída en la caja. Códigos escritos '330' y '232'
0233,Odyssey Tyrant,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0233,Odyssey Tyrant,genero,Hombre,Propuesta: el PDF no lo dice
0233,Odyssey Tyrant,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0233,Odyssey Tyrant,nombre,Odyssey Tyrant,El catálogo dice 'odyssey 100ml'; variante leída en la caja
0235,Odyssey Eau de Montagne,familia,Acuático,Propuesta: el PDF no trae familia olfativa
0235,Odyssey Eau de Montagne,genero,Unisex,Propuesta: el PDF no lo dice
0235,Odyssey Eau de Montagne,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0235,Odyssey Eau de Montagne,nombre,Odyssey Eau de Montagne,El catálogo dice 'odyssey 100ml'; variante leída en la caja
0239,Odyssey Homme,familia,Especiado,Propuesta: el PDF no trae familia olfativa
0239,Odyssey Homme,genero,Hombre,Propuesta: el PDF no lo dice
0239,Odyssey Homme,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0239,Odyssey Homme,visible,no,"Mismo producto que 0234 (Armaf Odyssey Homme), mismo precio. Se publica 0234"
0182,Vulcan (variante turquesa por confirmar),familia,Oriental,Propuesta: el PDF no trae familia olfativa
0182,Vulcan (variante turquesa por confirmar),genero,Unisex,Propuesta: el PDF no lo dice
0182,Vulcan (variante turquesa por confirmar),concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0182,Vulcan (variante turquesa por confirmar),visible,no,El PDF solo dice «Vulcan 100ml» (frasco turquesa): falta la variante
0183,Vulcan Sable,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0183,Vulcan Sable,genero,Unisex,Propuesta: el PDF no lo dice
0183,Vulcan Sable,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0183,Vulcan Sable,nombre,Vulcan Sable,Nombre genérico en el catálogo; variante leída en la caja
0184,Vulcan Baie,familia,Floral,Propuesta: el PDF no trae familia olfativa
0184,Vulcan Baie,genero,Unisex,Propuesta: el PDF no lo dice
0184,Vulcan Baie,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0184,Vulcan Baie,nombre,Vulcan Baie,Nombre genérico en el catálogo; variante leída en la caja
0220,Miss Armaf Dazzling,familia,Floral,Propuesta: el PDF no trae familia olfativa
0221,Miss Armaf Chic,familia,Floral,Propuesta: el PDF no trae familia olfativa
0222,Miss Armaf Mystique,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0223,Miss Armaf Grandeur,familia,Floral,Propuesta: el PDF no trae familia olfativa
0192,Erba Gold,familia,Cítrico,Propuesta: el PDF no trae familia olfativa
0192,Erba Gold,genero,Unisex,Propuesta: el PDF no lo dice
0192,Erba Gold,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0192,Erba Gold,ml,100,El PDF no dice el tamaño; se asume 100 ml
0192,Erba Gold,nombre,Erba Gold,Sin nombre en el catálogo (la celda tiene una foto); la caja parece decir Erba Gold
0193,(variante por confirmar),familia,Oriental,Propuesta: el PDF no trae familia olfativa
0193,(variante por confirmar),genero,Unisex,Propuesta: el PDF no lo dice
0193,(variante por confirmar),concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0193,(variante por confirmar),visible,no,El PDF solo dice «Xerjoff 100ml» (frasco dorado): falta la variante
0194,Erba Pura,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0194,Erba Pura,genero,Unisex,Propuesta: el PDF no lo dice
0194,Erba Pura,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0194,Erba Pura,nombre,Erba Pura,"El catálogo dice 'Xerjoff 100ml'; la caja dice Erba Pura. Duplica a 0229 (707, agotado)"
